keyword,class_of_tobacco
tobacco,3
smoking tobacco,3
smoked tobacco,3
smoke tobacco,3
cig,3
cigs,3
ciggs,3
cigarette,3
cigarettes,3
cigaret,3
cigarets,3
cancerette,3
smokes,3
loosys,3
coffin nail,3
coffin nails,3
cancer sticks,3
zig zaggs,3
Zig-zags,3
marlboro,3
marlboros,3
hooka,2
hookah,2
sheesha,2
sheeshas,2
shishas,2
shisha,2
Waterpipe,2
Narghile,2
Nargileh,2
arghileh,2
Arghilehs,2
hubble-bubble,2
E-cigarette,1
Ecigarette,1
E-cigaret,1
E-cigaretts,1
Ecigaret,1
Ecigarets,1
E-cig,1
E-cigs,1
Ecig,1
Ecigs,1
electronic cigs,1
electronic ciggs,1
electronic cigarette,1
electronic cigaretts,1
Vape,1
Vaping,1
vaped,1
Vapeing,1
E-liquid,1
eliquid,1
E-juice,1
